"segment","section","dashboard_name","match_status","score","picked","entity","scenario","view","account","flow","origin","cons","ud1","ud2","ud3","ud4","ud5","ud6","ud7","ud8","candidate_count"
"rbi-level","flowthrough","FZ Bad Debt","MATCHED","134","FZ Bad Debt - BadDebt_FPA - Franchise_FPA","RestaurantBrandsIntlMNGT","Budget","YTD","BadDebt_FPA","Top","Top","Aggregated","Franchise_FPA","Top","RBI Organization","FPA_Reporting","Top","Top","Top","Top","256"
"rbi-level","flowthrough","Property","MATCHED","74","Property AOI - AOI - Property_FPA","RestaurantBrandsIntlMNGT","Budget","YTD","AOI","Top","Top","Aggregated","Property_FPA","Top","RBI Organization","FPA_Reporting","Top","Top","Top","Top","256"
"rbi-level","flowthrough","Ad Fund","MATCHED","74","Ad Fund AOI - AOI - LOB_MAA_FPA","RestaurantBrandsIntlMNGT","Budget","YTD","AOI","Top","Top","Aggregated","LOB_MAA_FPA","Top","RBI Organization","FPA_Reporting","Top","Top","Top","Top","256"
"rbi-level","flowthrough","Company","MATCHED","74","Company Ad AOI - AOI - LOB_Company_Advertising","RestaurantBrandsIntlMNGT","Budget","YTD","AOI","Top","Top","Aggregated","LOB_Company_Advertising","Top","RBI Organization","FPA_Reporting","Top","Top","Top","Top","352"
"rbi-level","flowthrough","Tech Fund","MATCHED","64","rollup(RBI Organization)","RestaurantBrandsIntlMNGT","Act_PY1_Actrate","Periodic","AOI","Top","Top","Aggregated","LOB_TotalEBITDA_FPA","Top","RBI Organization","FPA_Reporting","Top","Top","Top","Top","240"
"rbi-level","flowthrough","Equipment","MATCHED","74","Equipment AOI - AOI - EquipmentLOB_FPA","RestaurantBrandsIntlMNGT","Budget","YTD","AOI","Top","Top","Aggregated","EquipmentLOB_FPA","Top","RBI Organization","FPA_Reporting","Top","Top","Top","Top","256"
"rbi-level","flowthrough","VIE","MATCHED","74","VIE AOI - AOI - VIE","RestaurantBrandsIntlMNGT","Budget","YTD","AOI","Top","Top","Aggregated","VIE","Top","RBI Organization","FPA_Reporting","Top","Top","Top","Top","256"
"rbi-level","flowthrough","CPG","MATCHED","74","CPG Ad AOI - AOI - LOB_CPG_Advertising","RestaurantBrandsIntlMNGT","Budget","YTD","AOI","Top","Top","Aggregated","LOB_CPG_Advertising","Top","RBI Organization","FPA_Reporting","Top","Top","Top","Top","272"
"rbi-level","flowthrough","Supply Chain","MATCHED","74","Supply Chain AOI - AOI - LOB_SupplyChain","RestaurantBrandsIntlMNGT","Budget","YTD","AOI","Top","Top","Aggregated","LOB_SupplyChain","Top","RBI Organization","FPA_Reporting","Top","Top","Top","Top","336"
"rbi-level","flowthrough","Services","MATCHED","74","Services AOI - AOI - LOB_Services_FPA","RestaurantBrandsIntlMNGT","Budget","YTD","AOI","Top","Top","Aggregated","LOB_Services_FPA","Top","RBI Organization","FPA_Reporting","Top","Top","Top","Top","256"
"rbi-level","flowthrough","Segment G&A","MATCHED","64","rollup(RBI Organization)","RestaurantBrandsIntlMNGT","Act_PY1_Actrate","Periodic","AOI","Top","Top","Aggregated","LOB_TotalEBITDA_FPA","Top","RBI Organization","FPA_Reporting","Top","Top","Top","Top","240"
"rbi-level","flowthrough","Total Flowthrough","MATCHED","64","rollup(RBI Organization)","RestaurantBrandsIntlMNGT","Act_PY1_Actrate","Periodic","AOI","Top","Top","Aggregated","LOB_TotalEBITDA_FPA","Top","RBI Organization","FPA_Reporting","Top","Top","Top","Top","240"
"rbi-level","flowthrough","AOI Growth","MATCHED","64","rollup(RBI Organization)","RestaurantBrandsIntlMNGT","Act_PY1_Actrate","Periodic","AOI","Top","Top","Aggregated","LOB_TotalEBITDA_FPA","Top","RBI Organization","FPA_Reporting","Top","Top","Top","Top","240"
"rbi-level","pnl","FZ Sales","MATCHED","154","FZ Sales - TotalFzAndOASales - Franchise_FPA","RestaurantBrandsIntlMNGT","Fcst_0210_Planrate","Periodic","TotalFzAndOASales","Top","Top","Aggregated","Franchise_FPA","Top","RBI Organization","FPA_Reporting","Top","Top","Top","Top","624"
